month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
46.20524463,46.87260325,46.01927620000001,1,1988,0.0,South Dakota,1,1.0,53.37,9.052852011773707,9317.27
40.01494567,39.92358075,40.827262,0,1988,1.0,South Dakota,0,1.0,45.65,9.052852011773707,9317.27
37.5481241,35.454028,39.94634457,0,1992,1.0,South Dakota,0,1.0,43.01,9.189429597645258,9873.1
32.39232648,33.008674,34.62977737,1,1992,0.0,South Dakota,1,1.0,37.45,9.189429597645258,9873.1
41.50374623,41.2155898,42.15980820000001,0,1996,1.0,South Dakota,0,1.0,49.23,9.474708574836944,10624.63
45.18964084,45.965075,45.4206566,1,1996,0.0,South Dakota,1,1.0,40.72,9.474708574836944,10624.63
33.04661629,33.39871429,33.32667909,0,2000,0.0,South Dakota,0,1.0,48.38,9.800754658264283,11305.25
55.7992929,55.80279186,55.127173,1,2000,1.0,South Dakota,1,1.0,47.87,9.800754658264283,11305.25
53.67898529,54.39088,53.98083477,1,2004,1.0,South Dakota,1,1.0,50.73,9.98944515760947,12112.859999999999
38.29431371,38.163871,36.77491777,0,2004,0.0,South Dakota,0,1.0,48.27,9.98944515760947,12112.859999999999
41.15414887,43.30385175,39.2538374,0,2008,1.0,South Dakota,0,1.0,52.93,10.361950700846721,12836.72
49.88315474,51.938736,49.6905093,1,2008,0.0,South Dakota,1,1.0,45.66,10.361950700846721,12836.72
37.90678587,40.05534233,37.8835915,0,2012,1.0,South Dakota,0,1.0,51.06,10.820710312366282,13679.48
53.21734632,52.9314735,51.80812279999999,1,2012,0.0,South Dakota,1,1.0,47.2,10.820710312366282,13679.48
46.22388258,50.7732425,45.736562,1,2016,1.0,South Dakota,1,1.0,46.09,11.222027722669573,14330.15
32.39108903,32.07469125,29.79168167,0,2016,0.0,South Dakota,0,1.0,48.18000000000001,11.222027722669573,14330.15
55.23259,54.33539333,53.826622,1,2020,1.0,South Dakota,1,1.0,46.525,11.709223168786714,15313.73
39.43482517,39.00967667,45.27252,0,2020,0.0,South Dakota,0,1.0,52.46,11.709223168786714,15313.73
