month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
44.91886568,45.797364,44.78162787,0,2000,0.5,Pennsylvania,1,0.3,48.38,266.7109514090929,231217.83,390844.64
40.27689739,43.923388,40.19592533,1,2000,0.5,Pennsylvania,0,0.3,47.87,266.7109514090929,231217.83,390844.64
45.9329431,47.38738,47.0333902,1,2004,0.5238095238095238,Pennsylvania,0,0.1,50.73,269.45855226019364,243773.36,407840.76
48.85575455,48.735008,46.95405683,0,2004,0.4761904761904762,Pennsylvania,1,0.1,48.27,269.45855226019364,243773.36,407840.76
51.69835910000001,51.5163355,47.927982899999996,0,2008,0.368421052631579,Pennsylvania,1,0.0,52.93,273.83483868166223,254934.46,422712.09
40.92746094,43.3913425,44.4554905,1,2008,0.631578947368421,Pennsylvania,0,0.0,45.66,273.83483868166223,254934.46,422712.09
49.01699635,49.61304617,49.47341737,0,2012,0.631578947368421,Pennsylvania,1,0.0,51.06,277.2600416865691,265261.79000000004,438523.95
44.95574587,45.78066067,42.76843437,1,2012,0.3684210526315789,Pennsylvania,0,0.0,47.2,277.2600416865691,265261.79000000004,438523.95
39.76892226,42.77240875,40.15651967,1,2016,0.7222222222222222,Pennsylvania,1,0.0,46.09,277.56800121585826,276377.1,458451.65
46.69480548,46.84694625,45.04540467,0,2016,0.2777777777777778,Pennsylvania,0,0.0,48.18000000000001,277.56800121585826,276377.1,458451.65
44.28502806,45.39075,44.90167667,1,2020,0.625,Pennsylvania,0,0.4,46.525,278.36423639758567,288861.08,480742.38
50.50560613,50.18838333,49.67743567,0,2020,0.375,Pennsylvania,1,0.4,52.46,278.36423639758567,288861.08,480742.38
